,[Foam Insert Mono]-[TIJ2X R1 22 FOAM MONO]-[F_Ht],[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 PCI Z/FLEX WRAP]-[ZDAvgHt],[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 PCI Z/FLEX WRAP]-[ZPOMAvgHt],[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[FB1Vol],[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[FB1AvgHt],[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[FB1AvgWi],[INK WEIGHT CPM]-[TIJ2X R1 23 INKWT AUDIT CPM]-[GrossWgt],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[HopA_Degas],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[HopB_Degas],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[VacDeltaSP],Status
0,2.527,2220.0,2261.0,7619.0,554.0,920.0,61.62,2.462,1.886,3.98,Pass
1,2.762,2255.0,2290.0,7018.0,527.0,892.0,61.8,2.574,1.899,4.077,Pass
2,1.883,2239.0,2277.0,8524.0,594.0,961.0,61.76,2.487,1.896,4.05,Pass
3,2.435,2232.0,2277.0,8257.0,573.0,965.0,61.78,2.512,1.867,4.003,Pass
4,2.334,2235.0,2289.0,7985.0,557.0,943.0,61.65,2.537,1.88,4.2,Pass
5,2.577,2252.0,2281.0,7414.0,542.0,912.0,61.76,2.477,1.855,4.05,Pass
6,3.058,2240.0,2286.0,7242.0,543.0,885.0,61.54,2.515,1.871,4.077,Pass
7,2.51,2233.0,2278.0,8365.0,584.0,963.0,61.85,2.477,1.855,4.032,Pass
8,2.674,2264.0,2310.0,7678.0,571.0,943.0,61.83,2.531,1.883,3.997,Pass
9,2.724,2265.0,2295.0,7456.0,547.0,910.0,61.91,2.515,1.849,4.043,Pass
10,1.808,2255.0,2278.0,7217.0,535.0,890.0,61.79,2.556,1.855,3.945,Pass
11,2.349,2244.0,2271.0,8422.0,598.0,951.0,62.04,2.568,1.842,4.008,Pass
12,2.569,2260.0,2301.0,8326.0,573.0,946.0,61.7,2.565,1.852,4.015,Pass
13,2.381,2277.0,2314.0,8312.0,578.0,946.0,61.74,2.471,1.842,4.166,Pass
14,2.289,2256.0,2310.0,8246.0,568.0,973.0,61.69,2.474,1.852,4.131,Pass
15,2.389,2227.0,2278.0,8464.0,597.0,934.0,61.79,2.546,1.955,4.119,Pass
16,2.168,2206.0,2272.0,8500.0,603.0,946.0,61.58,2.531,1.943,4.108,Pass
17,2.64,2254.0,2296.0,8373.0,573.0,944.0,61.75,2.471,1.842,3.973,Pass
18,2.574,2259.0,2321.0,8241.0,574.0,956.0,61.71,2.477,1.846,4.13,Pass
19,2.56,2256.0,2298.0,8118.0,565.0,950.0,61.89,2.521,1.852,3.986,Pass
20,2.378,2237.0,2272.0,7657.0,560.0,911.0,61.86,2.546,1.955,4.123,Pass
21,2.592,2238.0,2273.0,7436.0,548.0,905.0,61.84,2.437,1.986,4.077,Pass
22,1.796,2256.0,2288.0,7450.0,549.0,890.0,61.81,2.083,1.977,4.124,Pass
23,2.761,2251.0,2291.0,8371.0,594.0,944.0,61.71,2.083,1.977,4.212,Pass
24,2.55,2265.0,2317.0,8141.0,573.0,961.0,61.82,2.518,1.846,4.095,Pass
25,2.415,2236.0,2281.0,7289.0,541.0,891.0,61.83,2.365,1.986,4.014,Pass
26,2.347,2252.0,2283.0,8945.0,612.0,964.0,61.77,2.449,1.986,4.083,Pass
27,1.929,2257.0,2307.0,8222.0,567.0,954.0,62.01,2.574,1.877,3.95,Pass
28,2.649,2271.0,2321.0,8085.0,567.0,970.0,61.89,2.437,1.911,4.078,Deprime
29,2.179,2229.0,2265.0,7351.0,549.0,886.0,61.76,2.305,2.014,4.019,Pass
30,2.654,2275.0,2313.0,8308.0,571.0,969.0,61.87,2.537,1.949,3.938,Pass
31,1.938,2249.0,2284.0,8322.0,597.0,938.0,61.61,2.437,1.977,4.039,Pass
32,2.076,2248.0,2279.0,7141.0,536.0,889.0,61.85,2.387,1.999,4.054,Pass
33,2.803,2252.0,2301.0,8190.0,574.0,969.0,61.81,2.074,1.98,4.142,Pass
34,2.324,2266.0,2300.0,8520.0,584.0,938.0,61.83,2.368,1.974,4.004,Pass
35,2.45,2276.0,2324.0,8320.0,576.0,981.0,61.86,2.315,2.018,4.177,Pass
36,2.348,2268.0,2297.0,8478.0,581.0,946.0,61.9,2.34,2.018,3.996,Pass
37,2.506,2267.0,2300.0,8461.0,576.0,978.0,61.74,2.355,2.018,3.892,Pass
38,2.598,2265.0,2309.0,8418.0,572.0,972.0,61.84,2.352,2.011,4.154,Pass
39,2.655,2272.0,2302.0,8404.0,576.0,946.0,61.92,2.399,2.024,3.961,Pass
40,2.542,2269.0,2327.0,8485.0,577.0,987.0,61.7,2.371,2.008,4.189,Pass
