[Foam Insert Mono]-[TIJ2X R1 22 FOAM MONO]-[F_Ht],[INK FILL]-[TIJ2X R1 22 INKFILL]-[InjDelta],[INK FILL]-[TIJ2X R1 22 INKFILL]-[InjNose],[INK WEIGHT CPM]-[TIJ2X R1 23 INKWT AUDIT CPM]-[GrossWgt],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[EdBodyVac],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[EdNoseVac],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[HopA_Degas],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[HopB_Degas],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[StBodyVac],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[StNoseVac],[Ink Fill]-[TIJ2X R1 22 INKFILL]-[VacDeltaSP],Status
2.527,3.899,28.92,61.62,25.102,29.082,2.462,1.886,25.021,28.92,3.98,Pass
2.762,4.227,29.106,61.8,24.96,29.037,2.574,1.899,24.879,29.106,4.077,Pass
1.883,4.12,29.129,61.76,25.021,29.071,2.487,1.896,25.009,29.129,4.05,Pass
2.435,3.981,28.92,61.78,25.043,29.046,2.512,1.867,24.939,28.92,4.003,Pass
2.334,4.235,29.082,61.65,24.963,29.163,2.537,1.88,24.847,29.082,4.2,Pass
2.577,4.107,29.023,61.76,24.962,29.012,2.477,1.855,24.916,29.023,4.05,Pass
3.058,4.067,28.934,61.54,24.937,29.014,2.515,1.871,24.867,28.934,4.077,Pass
2.51,4.02,28.945,61.85,24.971,29.003,2.477,1.855,24.925,28.945,4.032,Pass
2.674,4.044,28.934,61.83,25.006,29.003,2.531,1.883,24.89,28.934,3.997,Pass
2.724,4.078,28.957,61.91,24.96,29.003,2.515,1.849,24.879,28.957,4.043,Pass
1.808,3.992,29.012,61.79,25.089,29.034,2.556,1.855,25.02,29.012,3.945,Pass
2.349,3.974,28.911,62.04,25.052,29.06,2.568,1.842,24.937,28.911,4.008,Pass
2.569,4.061,28.977,61.7,25.008,29.023,2.565,1.852,24.916,28.977,4.015,Pass
2.381,4.166,29.036,61.74,24.951,29.117,2.471,1.842,24.87,29.036,4.166,Pass
2.289,4.108,29.036,61.69,24.986,29.117,2.474,1.852,24.928,29.036,4.131,Pass
2.389,4.143,28.932,61.79,24.94,29.059,2.546,1.955,24.789,28.932,4.119,Pass
2.168,4.038,29.001,61.58,25.021,29.129,2.531,1.943,24.963,29.001,4.108,Pass
2.64,4.02,28.914,61.75,25.01,28.983,2.471,1.842,24.894,28.914,3.973,Pass
2.574,4.096,28.92,61.71,24.916,29.046,2.477,1.846,24.824,28.92,4.13,Pass
2.56,3.985,28.922,61.89,25.017,29.003,2.521,1.852,24.937,28.922,3.986,Pass
2.378,4.135,28.994,61.86,24.952,29.075,2.546,1.955,24.859,28.994,4.123,Pass
2.592,4.136,28.948,61.84,24.917,28.994,2.437,1.986,24.812,28.948,4.077,Pass
1.796,4.135,28.922,61.81,24.879,29.003,2.083,1.977,24.787,28.922,4.124,Pass
2.761,4.189,28.978,61.71,24.859,29.071,2.083,1.977,24.789,28.978,4.212,Pass
2.55,4.096,28.977,61.82,24.905,29,2.518,1.846,24.881,28.977,4.095,Pass
2.415,3.947,28.909,61.83,25.02,29.034,2.365,1.986,24.962,28.909,4.014,Pass
2.347,4.107,29,61.77,24.997,29.08,2.449,1.986,24.893,29,4.083,Pass
1.929,4.008,28.96,62.01,25.01,28.96,2.574,1.877,24.952,28.96,3.95,Pass
2.649,4.043,28.899,61.89,24.902,28.98,2.437,1.911,24.856,28.899,4.078,Deprime
2.401,4.124,28.968,0,24.902,29.187,2.38,1.983,24.844,28.968,4.285,Pass
2.179,4.043,28.937,61.76,24.975,28.994,2.305,2.014,24.894,28.937,4.019,Pass
2.654,4.031,29.006,61.87,25.091,29.029,2.537,1.949,24.975,29.006,3.938,Pass
1.938,4.016,28.967,61.61,25.009,29.048,2.437,1.977,24.951,28.967,4.039,Pass
2.076,4.055,28.925,61.85,24.952,29.006,2.387,1.999,24.87,28.925,4.054,Pass
2.803,4.234,29,61.81,24.87,29.012,2.074,1.98,24.766,29,4.142,Pass
2.324,4.108,28.932,61.83,25.008,29.012,2.368,1.974,24.824,28.932,4.004,Pass
2.45,4.305,29.129,61.86,24.859,29.036,2.315,2.018,24.824,29.129,4.177,Pass
2.348,3.882,28.857,61.9,25.033,29.029,2.34,2.018,24.975,28.857,3.996,Pass
2.506,3.835,28.914,61.74,25.114,29.006,2.355,2.018,25.079,28.914,3.892,Pass
2.598,4.165,29.001,61.84,24.928,29.082,2.352,2.011,24.836,29.001,4.154,Pass
2.655,4.112,29.029,61.92,25.01,28.971,2.399,2.024,24.917,29.029,3.961,Pass
2.542,4.155,29.048,61.7,24.917,29.106,2.371,2.008,24.893,29.048,4.189,Pass
